SOC Code,Blind Employed,Occupational Title_IDB,Occupational Title_BLS,Active Learning_IM,Active Learning_LV,Active Listening_IM,Active Listening_LV,Complex Problem Solving_IM,Complex Problem Solving_LV,Coordination_IM,Coordination_LV,Critical Thinking_IM,Critical Thinking_LV,Equipment Maintenance_IM,Equipment Maintenance_LV,Equipment Selection_IM,Equipment Selection_LV,Installation_IM,Installation_LV,Instructing_IM,Instructing_LV,Judgment and Decision Making_IM,Judgment and Decision Making_LV,Learning Strategies_IM,Learning Strategies_LV,Management of Financial Resources_IM,Management of Financial Resources_LV,Management of Material Resources_IM,Management of Material Resources_LV,Management of Personnel Resources_IM,Management of Personnel Resources_LV,Mathematics_IM,Mathematics_LV,Monitoring_IM,Monitoring_LV,Negotiation_IM,Negotiation_LV,Operation and Control_IM,Operation and Control_LV,Operations Analysis_IM,Operations Analysis_LV,Operations Monitoring_IM,Operations Monitoring_LV,Persuasion_IM,Persuasion_LV,Programming_IM,Programming_LV,Quality Control Analysis_IM,Quality Control Analysis_LV,Reading Comprehension_IM,Reading Comprehension_LV,Repairing_IM,Repairing_LV,Science_IM,Science_LV,Service Orientation_IM,Service Orientation_LV,Social Perceptiveness_IM,Social Perceptiveness_LV,Speaking_IM,Speaking_LV,Systems Analysis_IM,Systems Analysis_LV,Systems Evaluation_IM,Systems Evaluation_LV,Technology Design_IM,Technology Design_LV,Time Management_IM,Time Management_LV,Troubleshooting_IM,Troubleshooting_LV,Writing_IM,Writing_LV,Employment,Projected Employment,Projected Growth,Projected Growth Text,Projected Annual Job Openings
11-3111.00,0,,Compensation and Benefits Managers,3.75,4.0,4.0,4.12,3.38,3.25,3.12,3.5,3.88,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.12,3.88,4.0,3.0,3.12,3.25,3.75,1.88,1.75,3.62,3.75,3.0,3.12,3.38,3.62,3.12,3.25,1.0,0.0,2.75,2.88,1.5,0.5,3.0,3.38,1.75,0.88,1.5,0.88,4.0,4.12,1.0,0.0,1.0,0.0,3.12,3.12,3.5,3.88,4.0,4.12,3.25,3.75,3.25,3.88,1.5,0.62,3.62,3.75,1.0,0.0,4.0,4.12,17500,17800,2.0,Average,1100
11-3121.00,0,,Human Resources Managers,3.75,4.0,4.12,4.0,3.88,3.75,3.88,3.88,3.75,4.12,1.0,0.0,1.0,0.0,1.0,0.0,3.38,3.88,4.0,4.0,3.25,3.75,2.88,3.62,2.38,2.88,4.12,4.5,2.62,3.0,3.62,4.12,3.88,4.0,1.25,0.25,2.25,2.0,1.75,0.75,3.62,4.0,1.75,1.38,1.62,0.75,4.0,4.12,1.0,0.0,1.62,1.0,3.38,3.75,3.88,4.0,4.12,4.0,3.62,3.62,3.75,4.0,1.75,0.88,3.62,4.12,1.0,0.0,3.88,4.0,191600,201600,5.0,Faster than average,15500
11-3131.00,1,Program Coordinator-Job Retention,Training and Development Managers,3.88,4.25,4.0,4.0,3.62,4.0,4.0,4.0,3.88,4.0,1.0,0.0,1.0,0.0,1.0,0.0,4.12,4.75,3.88,4.0,4.38,5.25,3.62,3.88,3.0,3.0,3.62,4.12,3.0,3.0,3.88,4.25,3.12,3.25,1.0,0.0,2.75,2.88,1.62,1.12,3.75,3.88,1.75,0.75,2.38,2.12,4.0,4.0,1.0,0.0,1.88,0.88,3.62,3.62,3.88,4.0,4.0,4.75,3.38,3.88,3.38,4.0,1.75,0.75,3.75,4.0,1.25,0.25,3.88,4.0,41300,44000,7.0,Faster than average,3500
11-9013.00,1,Farmer-Job Retention,"Farmers, Ranchers, and Other Agricultural Managers",3.29,3.42,3.58,3.67,3.42,3.25,3.5,3.63,3.88,3.87,2.13,2.21,2.21,1.96,1.08,0.08,3.21,3.21,3.75,3.59,3.04,3.13,2.88,3.21,2.83,3.25,3.5,3.5,2.71,2.83,3.79,3.71,3.25,3.37,2.87,2.75,2.37,2.42,3.13,3.0,3.25,3.37,1.63,0.71,2.96,2.87,3.46,3.75,2.08,1.88,2.88,2.88,2.87,2.91,3.33,3.38,3.87,3.75,3.08,3.21,3.16,3.25,1.75,1.04,3.63,3.58,2.38,2.21,3.17,3.59,922900,880600,-5.0,Decline,88800
11-9021.00,0,,Construction Managers,3.62,3.88,3.88,4.12,3.75,4.0,4.0,4.12,3.75,4.12,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.38,3.75,4.25,3.0,3.12,3.25,4.0,3.12,3.88,4.0,4.25,3.25,3.62,3.88,4.25,3.62,3.88,1.88,1.75,3.0,3.5,2.88,3.0,3.0,3.75,1.5,0.5,3.12,3.12,3.75,4.12,1.0,0.0,1.88,1.75,3.0,2.88,3.38,3.62,3.88,4.12,3.12,3.62,3.12,3.88,1.62,0.75,3.88,4.0,2.0,2.0,3.25,3.88,505800,528700,5.0,Faster than average,38700
11-9031.00,1,Receptionist,"Education and Childcare Administrators, Preschool and Daycare",3.5,3.88,4.0,4.0,3.88,3.5,4.0,4.0,4.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,3.88,3.88,3.88,3.88,3.62,3.88,3.12,3.25,3.12,3.12,3.75,4.0,2.88,2.88,4.0,4.12,3.62,3.62,1.5,0.62,1.88,1.0,1.75,1.5,3.38,3.5,1.5,0.62,2.0,1.75,4.0,4.12,1.0,0.0,1.5,0.75,3.88,4.0,3.88,3.88,4.0,4.0,3.12,3.12,3.12,3.38,1.62,0.75,3.75,3.88,1.88,0.88,3.75,4.0,74800,72600,-3.0,Decline,4600
11-9032.00,0,,"Education Administrators, Kindergarten through Secondary",3.88,4.12,4.38,4.5,4.0,4.25,4.0,4.12,4.25,4.38,1.0,0.0,1.12,0.12,1.0,0.0,3.88,4.12,4.12,4.38,4.25,4.62,3.38,4.0,3.12,3.25,4.0,4.38,3.12,3.25,4.0,4.75,3.62,3.88,1.12,0.12,2.25,2.38,1.75,0.75,3.38,4.0,1.75,0.75,2.88,3.0,4.25,4.62,1.0,0.0,1.75,1.38,3.88,3.88,4.25,4.25,4.38,4.38,3.38,3.88,3.88,4.25,1.75,0.75,3.88,4.12,1.62,0.62,4.12,4.38,300400,303700,1.0,Little or no change,20200
11-9033.00,0,,"Education Administrators, Postsecondary",3.88,4.0,4.0,4.25,3.88,4.0,3.62,4.0,4.12,4.25,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,3.88,4.0,3.75,4.0,3.12,3.12,2.88,3.5,3.75,4.0,2.88,3.12,4.0,4.25,3.62,3.75,1.0,0.0,1.62,0.88,2.0,1.38,3.62,3.75,1.38,0.5,1.38,0.5,4.12,4.62,1.0,0.0,1.5,0.5,3.5,3.88,3.75,4.0,4.0,4.25,3.25,3.75,3.25,3.75,1.62,0.75,4.0,4.0,1.0,0.0,4.0,4.25,218200,225900,4.0,Average,15300
11-9041.00,1,Independent Home Building Contractor,Architectural and Engineering Managers,3.88,3.88,4.0,4.0,4.0,4.25,3.75,4.12,3.88,4.25,1.12,0.12,1.0,0.0,1.0,0.0,3.25,3.75,3.88,4.25,3.25,3.12,2.88,3.25,2.88,3.0,3.25,3.88,3.88,4.25,3.75,4.0,3.12,3.88,1.5,1.12,2.38,2.25,2.5,2.62,3.12,3.75,1.88,1.12,3.0,3.12,4.12,4.38,1.0,0.0,2.62,2.75,3.25,3.25,3.5,3.62,4.0,4.0,3.12,3.62,3.0,3.25,1.88,1.75,3.88,4.0,2.0,2.0,4.0,4.12,201500,209700,4.0,Average,13600
11-9041.01,0,,Biofuels/Biodiesel Technology and Product Development Managers,3.25,3.75,3.5,3.62,3.62,3.88,3.25,3.38,3.62,4.12,1.75,1.38,2.25,2.12,1.12,0.38,3.0,3.25,3.62,3.88,2.88,3.25,2.0,1.88,2.0,1.88,3.12,3.38,3.12,3.12,3.25,3.88,2.88,3.38,2.25,1.75,2.38,2.25,3.0,3.0,3.0,3.38,2.0,1.38,3.12,3.0,3.62,4.25,1.75,1.25,3.12,3.0,2.88,2.88,2.88,3.12,3.62,3.5,3.62,3.5,3.5,3.5,2.12,1.62,3.25,3.5,2.0,1.62,3.62,3.88,201500,209700,4.0,Average,13600
