SOC Code,Blind Employed,Occupational Title_IDB,Occupational Title_BLS,Active Learning_IM,Active Learning_LV,Active Listening_IM,Active Listening_LV,Complex Problem Solving_IM,Complex Problem Solving_LV,Coordination_IM,Coordination_LV,Critical Thinking_IM,Critical Thinking_LV,Equipment Maintenance_IM,Equipment Maintenance_LV,Equipment Selection_IM,Equipment Selection_LV,Installation_IM,Installation_LV,Instructing_IM,Instructing_LV,Judgment and Decision Making_IM,Judgment and Decision Making_LV,Learning Strategies_IM,Learning Strategies_LV,Management of Financial Resources_IM,Management of Financial Resources_LV,Management of Material Resources_IM,Management of Material Resources_LV,Management of Personnel Resources_IM,Management of Personnel Resources_LV,Mathematics_IM,Mathematics_LV,Monitoring_IM,Monitoring_LV,Negotiation_IM,Negotiation_LV,Operation and Control_IM,Operation and Control_LV,Operations Analysis_IM,Operations Analysis_LV,Operations Monitoring_IM,Operations Monitoring_LV,Persuasion_IM,Persuasion_LV,Programming_IM,Programming_LV,Quality Control Analysis_IM,Quality Control Analysis_LV,Reading Comprehension_IM,Reading Comprehension_LV,Repairing_IM,Repairing_LV,Science_IM,Science_LV,Service Orientation_IM,Service Orientation_LV,Social Perceptiveness_IM,Social Perceptiveness_LV,Speaking_IM,Speaking_LV,Systems Analysis_IM,Systems Analysis_LV,Systems Evaluation_IM,Systems Evaluation_LV,Technology Design_IM,Technology Design_LV,Time Management_IM,Time Management_LV,Troubleshooting_IM,Troubleshooting_LV,Writing_IM,Writing_LV,Employment,Projected Employment,Projected Growth,Projected Growth Text,Projected Annual Job Openings
35-3023.00,0,,Fast Food and Counter Workers,1.75,1.5,3.12,2.25,2.0,1.62,3.0,2.75,2.88,2.62,1.0,0.0,1.0,0.0,1.0,0.0,2.25,2.0,2.62,1.88,2.25,2.25,1.62,0.75,2.25,1.5,2.38,2.12,2.25,1.88,2.75,2.12,2.0,1.75,1.88,1.38,1.25,0.38,2.12,1.5,2.25,1.88,1.0,0.0,2.12,1.62,2.5,2.0,1.0,0.0,1.12,0.12,3.25,2.5,3.12,2.12,2.75,2.0,1.88,1.75,2.0,1.75,1.5,0.62,2.38,1.88,1.75,1.0,2.12,1.88,3410100,3460500,2.0,Average,789300
35-3023.01,0,,Baristas,2.62,2.62,3.5,2.62,2.38,2.25,3.0,2.75,2.88,2.75,2.12,1.62,1.62,1.12,1.0,0.0,2.25,2.5,2.38,2.25,2.38,2.0,1.75,1.12,1.88,1.12,2.12,1.88,2.12,2.0,3.0,2.5,2.5,2.5,2.75,2.25,1.12,0.25,2.5,2.38,2.75,2.5,1.0,0.0,2.25,1.88,3.0,2.75,2.0,1.5,1.0,0.0,3.38,2.88,3.12,2.62,3.38,2.62,1.75,1.38,1.75,1.25,1.38,0.5,2.62,2.38,2.12,1.62,2.62,2.38,3410100,3460500,2.0,Average,789300
35-3031.00,0,,Waiters and Waitresses,2.88,2.12,3.75,2.88,2.88,2.12,3.12,2.75,2.88,2.75,1.0,0.0,1.0,0.0,1.0,0.0,2.38,2.12,2.88,2.25,2.38,2.12,1.5,0.62,1.5,0.5,2.12,2.12,2.12,1.75,3.0,2.75,2.62,2.12,1.62,0.75,1.0,0.0,1.88,1.38,2.88,2.12,1.12,0.12,2.0,1.25,2.75,2.38,1.0,0.0,1.0,0.0,3.62,2.88,3.5,2.75,3.62,2.5,2.0,1.25,2.0,1.38,1.12,0.12,2.75,2.25,1.62,0.62,2.0,2.12,2194100,2125500,-3.0,Decline,440000
35-3041.00,1,General Food Service Worker,"Food Servers, Nonrestaurant",2.0,2.12,3.0,2.38,2.12,2.12,2.88,2.62,2.88,2.38,1.12,0.25,1.12,0.12,1.0,0.0,2.12,1.88,2.75,2.12,2.0,2.12,1.88,1.0,1.88,1.0,2.25,2.0,2.0,1.5,2.75,2.25,2.12,1.38,2.0,1.12,1.5,0.62,2.12,1.38,2.12,2.0,1.12,0.12,2.12,2.0,2.88,2.12,1.0,0.0,1.0,0.0,3.0,2.12,2.88,2.62,3.0,2.5,2.0,1.25,2.0,1.12,1.75,0.75,2.88,2.12,2.0,1.12,2.0,2.12,258600,266600,3.0,Average,43700
35-9011.00,1,Lobby Attendant,Dining Room and Cafeteria Attendants and Bartender Helpers,2.12,2.12,3.0,2.0,2.0,2.0,3.0,2.88,2.75,2.25,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.88,2.88,2.12,2.0,2.0,2.0,1.38,2.0,1.12,2.25,2.12,1.88,1.25,2.88,2.12,2.0,1.75,1.75,0.88,1.12,0.25,2.12,1.5,2.0,1.88,1.12,0.12,2.0,1.5,2.38,2.0,1.0,0.0,1.0,0.0,3.0,2.12,2.88,2.0,2.88,2.12,2.0,1.12,2.0,1.12,1.12,0.12,2.25,2.12,2.0,1.12,2.0,1.25,459200,478400,4.0,Average,89100
35-9021.00,1,Lobby Attendant,Dishwashers,2.0,2.0,2.75,2.25,2.12,2.12,2.75,2.12,2.62,2.12,2.12,2.0,2.0,2.0,1.0,0.0,2.0,1.38,2.5,2.12,2.0,1.25,1.75,0.75,1.88,0.88,2.0,2.0,2.0,1.0,2.62,2.12,2.0,2.0,2.75,2.12,1.12,0.25,2.75,2.12,2.0,1.88,1.0,0.0,2.62,2.0,2.0,2.12,2.0,2.0,1.0,0.0,2.25,2.0,2.62,2.0,2.75,2.12,2.0,1.12,2.0,1.12,1.12,0.12,2.88,2.12,2.0,2.0,2.0,1.75,447100,436900,-2.0,Decline,75100
35-9031.00,1,Greeter,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",2.62,2.38,3.62,2.88,2.25,1.75,3.0,3.0,2.88,2.62,1.0,0.0,1.0,0.0,1.0,0.0,2.5,2.0,2.5,1.88,2.25,2.12,1.25,0.25,1.25,0.25,2.25,2.12,2.12,1.88,2.75,2.0,2.88,2.62,1.12,0.25,1.0,0.0,1.5,0.5,2.75,2.75,1.25,0.25,1.62,0.62,2.88,2.38,1.0,0.0,1.0,0.0,3.25,3.12,3.25,2.88,3.38,2.88,2.12,1.88,1.88,1.62,1.12,0.12,2.62,2.38,1.25,0.25,2.38,2.12,412800,414900,1.0,Little or no change,104200
37-1011.00,1,School Custodian,First-Line Supervisors of Housekeeping and Janitorial Workers,2.88,2.88,3.12,3.12,3.12,2.88,3.25,3.5,3.12,3.25,2.12,1.75,2.0,1.12,1.0,0.0,3.12,3.12,3.0,2.88,3.12,3.0,2.38,2.5,2.75,3.0,3.38,3.88,2.12,2.12,3.25,3.88,3.0,3.0,2.0,1.75,1.88,1.5,2.25,2.0,2.88,3.12,1.0,0.0,3.0,2.62,3.0,3.25,1.88,1.38,1.0,0.0,3.12,3.12,3.12,3.38,3.25,3.38,2.38,2.12,2.62,2.38,1.38,0.38,3.25,3.75,2.12,1.88,2.88,3.0,254900,262600,3.0,Average,30400
37-1012.00,1,Lawn Service Worker/Job Retention,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3.12,3.0,3.88,3.88,3.12,3.0,3.75,3.75,3.75,3.75,2.25,2.12,2.25,1.62,1.38,0.38,3.25,3.0,3.25,3.0,3.12,3.0,2.25,2.25,2.88,2.88,3.88,3.88,2.88,2.88,4.0,3.75,2.88,3.0,3.0,2.88,2.12,2.12,3.0,3.0,3.12,3.0,1.62,0.75,3.12,2.88,3.12,3.62,2.12,1.88,1.62,1.0,3.12,3.12,3.25,3.62,3.75,4.0,2.88,2.88,2.88,2.88,1.88,1.0,4.0,3.88,2.25,2.12,3.0,3.0,230900,237000,3.0,Average,24300
37-2011.00,1,Telemarketer,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2.62,2.12,3.0,2.25,2.25,2.12,2.75,2.25,2.75,2.12,2.0,2.0,2.0,1.5,1.0,0.0,2.12,1.38,2.38,2.12,2.12,1.5,1.38,0.5,1.5,0.62,2.12,1.75,1.38,0.62,2.75,2.25,2.0,1.88,2.0,1.5,1.12,0.12,2.25,2.0,2.12,2.0,1.25,0.25,2.0,1.5,2.5,2.25,2.0,1.62,1.0,0.0,2.5,2.25,2.62,2.12,3.0,2.12,2.0,1.38,1.88,1.25,1.25,0.25,2.75,2.12,2.12,2.12,2.38,2.25,2382900,2412800,1.0,Little or no change,336700
37-2012.00,1,Houskeeping/Laundry Worker,Maids and Housekeeping Cleaners,2.12,1.62,2.75,2.12,2.12,2.12,3.0,2.62,2.75,2.12,1.0,0.0,1.25,0.25,1.0,0.0,2.12,2.12,2.12,2.12,2.12,1.5,1.62,0.62,1.88,0.88,2.12,2.0,1.88,1.0,2.75,2.0,2.12,2.12,1.62,0.62,1.12,0.25,2.0,1.38,2.12,2.12,1.0,0.0,2.0,1.75,2.62,2.12,1.0,0.0,1.0,0.0,3.12,2.62,2.88,2.12,2.75,2.12,2.0,1.0,2.0,1.0,1.0,0.0,3.0,2.25,1.88,0.88,2.12,2.0,1238800,1240400,0.0,Little or no change,175700
37-2021.00,0,,Pest Control Workers,3.12,2.88,3.75,3.0,3.25,3.0,3.12,3.0,3.75,3.38,2.25,1.88,2.12,1.88,1.0,0.0,2.88,2.88,3.12,2.88,2.75,2.75,2.12,2.0,2.12,2.0,3.0,2.88,2.62,2.62,3.62,3.0,3.12,2.88,3.0,2.62,1.88,1.25,3.0,2.75,3.12,3.0,1.0,0.0,2.62,2.38,3.0,3.0,2.25,1.88,2.0,1.75,3.25,3.0,3.38,2.88,3.62,3.0,2.88,2.62,2.62,2.0,1.62,0.62,3.5,3.0,2.5,2.0,3.62,3.0,95000,98000,3.0,Average,12600
37-3011.00,1,Landscaping And Groundkeeping Worker,Landscaping and Groundskeeping Workers,2.25,2.0,2.75,2.25,2.25,2.12,2.75,2.38,2.88,1.88,2.12,1.88,2.12,1.75,1.12,0.25,2.0,1.75,2.5,2.25,2.12,1.88,1.12,0.12,1.5,0.5,2.12,1.75,1.75,0.75,2.5,1.88,1.88,1.38,3.12,2.62,1.25,0.25,2.75,2.25,2.0,1.62,1.0,0.0,2.0,2.0,2.25,1.88,2.25,2.0,1.62,0.88,2.5,2.12,2.5,2.0,2.88,1.88,1.88,1.62,1.88,1.62,1.62,0.62,2.62,2.0,2.12,2.0,1.75,1.25,1176100,1217900,4.0,Average,156600
37-3012.00,0,,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2.88,2.38,3.25,3.0,3.0,2.88,3.0,2.75,3.12,2.88,2.88,2.25,2.25,1.88,1.0,0.0,2.38,2.12,3.0,2.88,2.25,2.0,1.75,1.12,1.88,1.25,2.5,2.25,2.25,2.0,2.88,2.75,2.38,1.75,3.0,3.0,1.25,0.38,3.0,2.88,2.38,2.38,1.0,0.0,2.38,2.25,3.0,2.88,2.25,1.88,2.0,1.38,2.5,2.25,3.0,2.5,3.12,3.0,2.12,2.0,2.12,2.0,1.38,0.38,3.12,2.88,2.25,2.12,2.5,2.25,23200,23700,2.0,Average,3000
37-3013.00,0,,Tree Trimmers and Pruners,2.62,2.12,2.88,2.62,3.12,2.75,3.0,3.12,3.25,3.0,2.75,2.38,2.88,2.12,1.25,0.38,3.0,3.0,2.75,2.5,2.25,2.0,1.88,1.0,1.88,1.0,2.75,2.62,1.88,1.38,3.12,3.0,2.25,2.0,3.75,3.12,1.38,0.38,3.62,3.0,2.38,2.12,1.0,0.0,2.75,2.62,2.62,2.5,2.25,2.0,1.75,0.88,2.88,2.5,2.62,2.5,3.0,2.75,2.25,2.0,2.0,1.62,1.62,0.62,2.75,3.0,2.75,2.25,2.5,2.5,66000,67600,3.0,Average,8600
39-1013.00,0,,First-Line Supervisors of Gambling Services Workers,3.0,3.0,3.75,3.5,3.25,3.0,3.38,3.12,3.62,3.88,1.75,1.25,1.75,1.12,1.25,0.38,3.25,3.38,3.12,3.0,2.75,2.75,1.88,1.25,1.88,1.12,3.38,3.5,2.62,2.38,3.88,3.62,3.12,3.12,2.12,1.38,1.5,0.88,2.38,2.0,3.0,3.12,1.88,1.25,2.12,1.5,3.62,3.62,1.75,1.12,1.25,0.38,3.88,3.5,3.5,3.5,3.75,3.62,3.0,2.62,2.75,2.88,1.5,0.75,3.5,3.38,1.88,1.25,3.38,3.25,29700,30600,3.0,Average,3300
39-1022.00,0,,First-Line Supervisors of Personal Service Workers,3.0,3.0,3.88,3.75,3.38,3.12,3.62,3.5,3.88,3.75,1.0,0.0,1.0,0.0,1.0,0.0,3.38,3.12,3.38,3.12,3.0,3.0,2.0,1.88,2.25,2.12,3.75,3.62,2.12,2.12,3.25,3.5,3.12,3.12,1.5,1.0,1.75,1.38,2.38,2.12,3.5,3.25,1.38,0.38,2.75,2.5,3.5,3.5,1.0,0.0,1.5,0.62,3.5,3.0,3.75,3.75,3.75,3.75,3.0,2.88,3.0,3.0,1.62,0.62,3.62,3.88,1.88,1.0,3.12,3.12,159000,172100,8.0,Faster than average,19100
39-2011.00,0,,Animal Trainers,3.25,3.12,3.12,3.0,3.0,2.75,3.0,3.0,3.38,3.38,1.0,0.0,1.12,0.12,1.0,0.0,3.75,3.12,3.12,2.88,3.5,3.88,1.75,1.5,2.0,1.75,2.62,2.5,1.88,1.62,3.12,3.5,2.5,2.25,1.75,1.75,1.75,1.0,2.0,1.5,2.88,2.88,1.12,0.12,2.12,2.12,2.88,3.12,1.0,0.0,1.75,1.38,3.0,3.0,3.0,3.0,3.5,3.0,2.88,2.62,2.88,2.62,1.75,0.75,3.0,2.75,1.75,1.25,2.88,2.75,54100,62800,16.0,Much faster than average,9000
39-2021.00,0,,Animal Caretakers,2.38,2.12,3.0,3.0,2.62,2.25,3.0,2.5,2.75,2.88,1.5,0.5,1.62,0.62,1.12,0.12,2.12,2.0,3.0,2.12,2.0,2.0,1.75,0.75,1.75,0.88,2.0,1.75,2.0,1.88,3.12,2.88,2.0,1.62,1.62,0.75,1.0,0.0,1.88,1.38,1.88,1.75,1.25,0.25,2.0,1.5,3.0,2.88,1.25,0.25,1.5,0.5,3.0,2.88,2.75,2.25,2.88,2.75,2.12,1.75,2.12,1.62,1.62,0.62,2.5,2.0,1.88,1.25,2.75,2.5,339000,391500,16.0,Much faster than average,70900
39-3011.00,0,,Gambling Dealers,2.25,2.38,3.38,3.0,2.25,2.0,2.88,2.75,2.75,2.88,1.12,0.12,1.0,0.0,1.0,0.0,2.62,2.62,2.5,2.38,2.0,2.0,1.5,0.5,1.25,0.25,2.12,1.75,2.75,2.0,3.0,3.0,2.38,2.25,1.25,0.25,1.0,0.0,1.62,0.88,2.62,2.38,1.0,0.0,1.62,1.0,3.0,2.62,1.0,0.0,1.0,0.0,3.12,2.88,3.12,2.75,3.38,2.88,1.5,0.88,1.62,1.12,1.12,0.12,2.5,2.5,1.38,0.38,2.25,2.25,75600,76400,1.0,Little or no change,12100
39-3012.00,0,,Gambling and Sports Book Writers and Runners,2.62,2.5,3.5,3.12,2.5,2.25,3.0,3.0,2.88,2.88,1.0,0.0,1.0,0.0,1.0,0.0,2.25,2.25,2.62,2.5,2.25,2.12,1.75,1.12,1.75,0.88,2.38,2.62,3.0,2.75,3.12,3.12,2.25,2.0,1.62,0.75,1.12,0.12,2.0,1.75,2.5,2.5,1.38,0.38,1.88,1.62,2.75,3.12,1.0,0.0,1.25,0.25,2.88,2.62,3.0,2.88,3.12,2.88,1.88,1.75,1.88,1.0,1.0,0.0,2.38,2.12,1.75,0.75,2.88,2.75,8400,8100,-4.0,Decline,1300
39-3021.00,0,,Motion Picture Projectionists,2.12,2.12,3.0,3.0,2.88,2.25,2.88,2.62,2.88,2.75,2.75,2.62,2.12,2.0,1.25,0.5,2.0,1.88,2.88,2.25,2.0,2.0,1.0,0.0,1.5,0.5,1.88,1.62,1.5,0.5,2.88,2.88,2.0,2.0,3.0,2.75,1.88,1.62,3.12,3.0,2.12,2.0,1.38,0.62,2.75,2.62,3.0,3.0,2.88,2.25,1.0,0.0,2.5,2.5,2.88,2.25,3.0,2.88,2.12,1.25,2.12,1.12,1.12,0.25,2.88,2.62,2.88,2.75,2.12,2.75,2100,1900,-10.0,Decline,500
39-3031.00,1,Ticket Taker,"Ushers, Lobby Attendants, and Ticket Takers",2.62,2.12,3.12,2.75,2.5,2.12,3.0,2.38,2.75,2.62,1.0,0.0,1.0,0.0,1.0,0.0,1.62,1.12,2.38,2.12,1.62,1.25,1.0,0.0,1.0,0.0,2.38,2.0,1.88,1.38,2.75,2.62,2.88,2.25,1.62,0.62,1.25,0.38,2.0,1.75,2.88,2.5,1.38,0.38,2.0,1.62,2.75,2.25,1.0,0.0,1.0,0.0,3.25,3.0,3.38,3.0,3.25,2.5,2.0,1.38,2.0,1.38,1.0,0.0,2.5,2.0,1.88,0.88,2.25,2.12,106600,108300,2.0,Average,31500
39-3091.00,0,,Amusement and Recreation Attendants,2.38,2.0,3.0,2.5,2.12,2.12,2.88,2.62,2.75,2.75,1.75,0.88,1.12,0.12,1.0,0.0,2.12,2.0,2.62,2.12,2.12,2.0,1.0,0.0,1.38,0.5,2.0,2.0,2.0,1.75,2.88,2.38,2.0,2.12,2.25,2.0,1.12,0.25,2.38,2.25,2.38,2.5,1.25,0.25,1.88,1.38,2.38,2.0,1.75,0.88,1.0,0.0,3.12,2.75,3.0,2.38,3.25,2.75,2.0,1.12,2.0,1.12,1.38,0.62,2.62,2.12,2.0,1.38,2.5,2.0,343800,358100,4.0,Average,99400
39-3092.00,0,,Costume Attendants,2.5,2.25,3.12,3.12,2.25,2.38,3.12,3.12,2.88,2.88,1.0,0.0,1.12,0.12,1.0,0.0,2.5,2.0,2.38,2.38,1.88,1.62,1.88,1.38,2.0,1.38,2.25,2.12,1.5,1.0,3.12,3.0,2.75,2.38,2.0,1.25,2.12,2.12,1.88,1.25,2.75,2.38,1.0,0.0,2.0,1.5,2.88,3.12,1.0,0.0,1.0,0.0,2.88,2.75,3.0,3.0,3.12,3.0,2.12,1.62,2.38,1.75,1.62,0.62,2.75,2.25,1.62,0.75,2.5,2.38,6100,6400,5.0,Faster than average,1800
39-3093.00,0,,"Locker Room, Coatroom, and Dressing Room Attendants",2.12,2.0,3.5,2.88,2.0,2.0,2.75,2.38,2.5,2.75,1.0,0.0,1.12,0.25,1.0,0.0,2.0,1.62,2.25,2.25,1.38,0.38,1.0,0.0,1.25,0.5,2.0,1.38,1.38,0.38,2.75,2.38,2.5,2.0,1.5,0.5,1.25,0.25,1.62,0.62,2.25,2.25,1.0,0.0,1.25,0.25,2.62,2.38,1.0,0.0,1.0,0.0,3.5,2.62,3.12,2.62,3.62,2.75,1.0,0.0,1.38,0.38,1.0,0.0,2.38,2.12,1.0,0.0,2.25,2.12,12900,13800,7.0,Faster than average,3800
39-4011.00,0,,Embalmers,3.0,3.0,3.75,3.75,2.88,3.0,3.0,3.0,3.12,3.12,1.5,1.0,1.62,1.0,1.0,0.0,2.62,2.62,3.0,3.0,2.12,2.75,2.0,1.12,2.0,1.25,2.75,2.75,2.0,2.0,3.0,3.12,2.38,2.62,2.12,2.25,2.0,1.88,2.75,2.12,2.25,2.12,1.25,0.25,2.25,1.88,3.0,3.38,1.5,1.0,2.62,2.25,3.12,3.0,3.12,3.88,3.88,3.75,2.12,2.12,2.12,2.12,1.88,1.0,3.12,3.12,2.0,1.62,3.12,3.0,4000,4000,1.0,Little or no change,600
39-4021.00,0,,Funeral Attendants,2.0,1.5,3.12,3.0,2.38,2.0,3.0,3.0,2.75,2.75,1.75,1.25,1.5,0.62,1.0,0.0,2.12,1.25,2.88,2.62,1.88,1.38,1.5,1.12,2.0,1.38,1.88,1.25,1.75,1.25,3.12,2.88,2.0,1.25,2.12,1.62,1.62,0.75,2.25,1.25,2.0,1.88,1.12,0.12,2.0,1.25,2.62,2.62,1.25,0.38,1.38,0.5,3.38,3.0,3.5,3.25,3.38,3.0,2.0,1.12,1.75,1.0,1.5,0.5,2.5,2.5,1.75,1.12,2.38,2.38,33200,34200,3.0,Average,4900
39-4031.00,0,,"Morticians, Undertakers, and Funeral Arrangers",3.12,3.25,4.0,4.0,3.12,3.25,3.88,4.0,3.25,3.88,1.0,0.0,1.25,0.38,1.0,0.0,3.0,3.12,3.12,3.25,2.88,2.88,2.75,2.75,2.75,2.88,3.0,3.62,2.88,2.62,3.12,3.75,3.25,3.62,2.62,2.75,2.75,2.75,3.0,3.0,3.0,3.75,1.38,0.5,2.75,2.75,3.25,3.88,1.0,0.0,1.88,1.75,3.88,4.12,4.12,4.75,3.88,4.0,3.0,3.0,2.75,3.12,1.62,0.75,3.38,3.62,2.0,1.25,3.25,4.0,24500,25400,4.0,Average,3000
39-5011.00,0,,Barbers,2.5,2.5,3.38,3.0,2.25,2.12,2.5,2.38,2.88,2.75,2.0,1.0,1.88,1.25,1.0,0.0,1.62,0.75,3.0,2.12,1.88,1.62,1.75,1.12,2.0,1.12,2.0,1.75,1.88,1.12,2.88,2.75,2.0,1.5,1.88,1.5,2.12,1.25,2.0,1.5,2.25,2.0,1.0,0.0,1.88,1.62,2.75,2.12,1.88,0.88,1.25,0.25,3.12,3.0,3.12,2.88,3.12,2.75,1.75,0.88,1.62,0.75,1.5,0.5,2.62,2.75,2.0,1.12,2.0,2.0,63100,67600,7.0,Faster than average,7300
39-5012.00,0,,"Hairdressers, Hairstylists, and Cosmetologists",3.25,3.0,3.88,3.0,3.0,2.88,2.88,2.5,3.38,3.5,1.38,0.38,1.75,1.12,1.0,0.0,2.88,3.0,3.25,2.5,2.88,3.0,1.5,0.75,1.88,1.12,2.5,2.25,2.38,2.0,3.0,3.0,2.75,2.38,1.38,0.5,2.5,1.88,2.0,1.62,2.88,2.75,1.38,0.38,1.62,1.0,3.0,3.0,1.0,0.0,1.62,1.0,3.62,3.25,3.12,3.12,3.75,3.0,2.25,2.12,2.25,2.25,1.75,1.0,3.0,2.62,1.5,0.62,2.88,2.88,555800,598600,8.0,Faster than average,82000
39-5091.00,0,,"Makeup Artists, Theatrical and Performance",3.0,3.25,3.25,3.25,2.88,2.75,3.0,3.12,3.12,3.25,1.0,0.0,1.62,0.62,1.0,0.0,2.62,2.75,3.12,3.0,2.5,2.5,2.62,2.75,2.62,2.5,2.38,2.25,2.0,2.12,3.0,3.12,2.5,2.38,1.0,0.0,2.62,2.62,1.88,1.5,2.62,2.62,1.25,0.25,2.25,2.25,3.25,3.25,1.0,0.0,1.62,0.62,2.75,2.88,3.0,3.0,3.5,3.12,2.5,2.38,2.38,2.25,1.75,0.88,2.88,2.88,1.62,0.62,2.75,2.75,4600,4900,9.0,Much faster than average,800
39-5092.00,0,,Manicurists and Pedicurists,2.75,2.25,3.0,2.75,2.25,2.0,2.75,2.25,2.5,2.5,1.0,0.0,1.5,0.62,1.0,0.0,2.12,2.0,2.38,2.12,2.12,1.88,1.38,0.38,1.5,0.5,2.0,1.88,1.88,1.25,2.62,2.12,2.5,2.12,1.12,0.12,1.5,0.5,1.5,0.88,2.62,2.12,1.0,0.0,1.75,1.38,2.75,2.12,1.0,0.0,1.0,0.0,3.0,2.62,3.0,2.62,3.0,2.62,2.0,1.75,2.0,1.75,1.75,0.88,2.75,2.12,1.38,0.38,2.12,1.88,196900,214000,9.0,Much faster than average,25500
39-5093.00,0,,Shampooers,2.25,2.0,3.12,2.62,2.12,1.88,2.75,2.62,2.5,2.12,1.0,0.0,1.38,0.38,1.0,0.0,2.12,2.0,2.5,2.12,2.0,1.75,1.38,0.5,1.38,0.38,2.0,1.62,1.62,1.12,2.75,2.38,2.25,1.62,1.25,0.38,1.12,0.25,2.12,1.62,2.38,1.62,1.0,0.0,1.5,0.62,2.5,2.25,1.0,0.0,1.0,0.0,3.0,2.75,2.75,2.62,3.25,2.5,1.5,0.75,1.5,0.75,1.38,0.38,2.5,2.25,1.38,0.62,2.38,2.0,11300,12600,11.0,Much faster than average,2100
39-5094.00,0,,Skincare Specialists,3.12,2.88,3.5,3.12,2.75,2.88,3.0,2.88,3.0,3.0,1.0,0.0,1.75,1.0,1.0,0.0,2.75,2.75,2.88,3.12,2.88,2.75,1.12,0.12,1.38,0.5,2.0,2.0,1.5,0.62,3.0,3.0,2.5,2.38,1.75,0.88,2.0,1.75,2.0,1.62,2.62,2.5,1.0,0.0,1.88,1.12,3.12,3.12,1.0,0.0,1.38,0.62,3.5,3.38,3.0,2.88,3.62,3.0,2.0,1.88,2.0,1.88,1.38,0.38,2.88,2.75,1.38,0.5,2.38,2.75,82000,89400,9.0,Much faster than average,12400
39-6011.00,0,,Baggage Porters and Bellhops,2.25,2.12,3.62,3.12,2.88,2.12,3.0,2.75,3.0,2.75,1.62,0.75,1.5,0.5,1.0,0.0,2.5,2.5,2.75,2.25,2.25,2.0,1.88,1.0,1.88,1.0,2.12,2.25,2.0,1.88,2.88,2.25,2.25,2.12,2.38,2.12,1.12,0.25,2.38,2.12,2.25,2.12,1.25,0.25,2.0,1.62,2.88,2.62,1.62,0.75,1.0,0.0,3.75,3.0,2.88,2.38,3.62,2.62,2.12,2.0,2.0,2.12,1.25,0.25,2.88,2.25,2.0,1.75,2.75,2.12,27700,29400,6.0,Faster than average,4700
39-6012.00,0,,Concierges,2.88,2.88,4.0,3.88,2.88,2.62,3.5,3.0,3.25,3.62,1.0,0.0,1.0,0.0,1.0,0.0,2.25,2.0,3.0,2.75,2.25,2.12,1.62,0.88,1.62,1.12,2.38,2.12,2.0,2.0,3.0,3.0,2.75,2.88,1.38,0.38,1.38,0.5,1.5,0.62,3.0,2.88,1.38,0.38,1.38,0.38,3.0,3.25,1.0,0.0,1.0,0.0,4.25,4.0,4.12,3.12,4.0,3.38,2.12,2.0,2.12,1.88,1.62,0.75,2.88,2.75,1.0,0.0,2.75,2.88,38700,40900,6.0,Faster than average,6500
39-7011.00,0,,Tour Guides and Escorts,2.25,2.38,3.25,3.12,2.12,2.12,3.0,3.0,2.88,3.12,1.0,0.0,1.0,0.0,1.0,0.0,2.38,2.25,2.75,2.12,2.25,2.62,1.0,0.0,1.25,0.38,2.0,1.62,2.0,1.12,3.0,3.0,2.12,2.0,1.12,0.12,1.75,0.88,1.75,0.88,2.62,2.12,1.0,0.0,1.25,0.25,3.0,3.0,1.0,0.0,1.0,0.0,3.12,2.88,3.25,3.0,3.88,3.25,1.62,1.0,1.88,1.0,1.62,0.62,3.0,2.12,1.0,0.0,2.25,2.25,53600,58000,8.0,Faster than average,12200
39-7012.00,0,,Travel Guides,3.12,3.0,3.88,4.0,3.12,3.12,3.75,3.62,3.12,3.75,1.0,0.0,1.5,0.5,1.0,0.0,2.75,3.0,3.12,3.0,2.75,3.0,2.62,2.38,2.75,2.38,2.88,2.75,2.5,2.5,3.0,3.12,3.12,3.38,2.12,2.0,2.0,1.62,2.0,2.12,3.75,3.38,1.88,1.0,2.12,1.5,3.25,3.75,1.12,0.12,1.0,0.0,4.12,3.88,3.88,3.25,4.0,3.25,2.75,2.62,2.62,2.62,1.75,1.0,3.25,3.0,1.5,0.5,3.12,3.25,53600,58000,8.0,Faster than average,12200
39-9011.00,1,Self-Employed Child Care Provider,Childcare Workers,3.0,3.0,3.12,3.0,3.0,2.88,3.12,3.0,3.12,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.88,3.0,3.0,3.0,3.12,1.0,0.0,1.25,0.25,2.25,2.12,2.12,1.88,3.5,3.12,2.75,2.62,1.0,0.0,1.12,0.12,1.88,1.5,2.88,2.88,1.0,0.0,2.0,1.88,3.0,3.0,1.0,0.0,1.12,0.12,3.38,3.25,3.25,3.25,3.12,3.0,2.38,2.12,2.38,2.25,1.75,0.88,2.88,2.88,1.88,1.12,3.0,2.88,945900,927400,-2.0,Decline,153100
